trial_len1,trial_len2,reach_diff,peak_velRight,peak_velLeft,vel_inxR,vel_inxL,mo_timeR,mo_timeL,peakAccR,peakAccL,acc_inxR,acc_inxL,firsthand,Participant
852,1984,1132,0.456717981,0.763924313,790,1347,245,1,2.02339686,5.721882182,1,1920,Right reached,2
773,1390,617,0.917428462,0.981675944,949,578,350,109,4.245540808,6.00014114,1262,737,Left reached,2
1349,3171,1822,0.897897401,1.012960868,478,904,195,233,5.385755395,8.666132344,339,1476,Left reached,2
1167,2094,927,1.213125461,0.783088158,651,1370,215,1,6.868795685,3.131464451,741,1607,Right reached,2
1196,2677,1481,0.773126702,0.833669716,847,1562,290,1,2.96914818,8.777588002,551,1681,Right reached,2
716,1180,464,0.817738432,1.051173089,548,531,105,1,5.07386907,5.81710117,699,402,Right reached,2
915,1617,702,0.569578012,0.718764539,877,1271,430,1,2.492438182,6.064040594,480,30,Right reached,2
1091,3388,2297,0.877752877,1.015623497,478,1391,256,266,7.977533553,10.01961294,654,1500,Right reached,2
793,1474,681,0.595296351,1.044086771,716,865,298,1,2.141296218,13.91341737,342,1385,Right reached,2
793,1305,512,0.640066255,0.694722359,978,426,256,1,2.369252758,8.385937085,1,890,Left reached,2
1284,2046,762,0.910028085,1.177663325,543,549,1,9,5.632600941,8.296600656,421,1382,Left reached,2
1659,2248,589,0.871844607,1.199221108,1429,1152,930,1,4.059707261,7.468284424,996,1678,Left reached,2
